,tilt_beta,z_mix_ratio,tilt_temperature_start,seed,tilt_init_geom_ratio,tilt_candidate_multiplier,eval/reach_top_right/episode_reward_iqm,eval/reach_top_left/episode_reward_iqm,eval/reach_bottom_right/episode_reward_iqm,eval/reach_bottom_left/episode_reward_iqm,eval/task_reward_iqm
0,0.995,0.6,20,42,0.99,2,0.010001497343182564,902.74560546875,0.0,714.7465209960938,404.37553199054673
1,0.995,0.7,20,42,0.99,2,0.0,887.2449340820312,0.0,353.3807678222656,310.1564254760742
2,0.995,0.8,20,42,0.99,2,0.0,411.5609436035156,0.0,619.5438232421875,257.7761917114258
3,0.995,0.9,20,42,0.99,2,150.23016357421875,947.0164184570312,0.0,581.4118041992188,419.6645965576172
4,0.995,1.0,20,42,0.99,2,0.0,941.268798828125,0.0,0.0,235.31719970703125
5,0.995,0.7,10,42,0.99,2,0.0,954.2551879882812,0.0,0.0,238.5637969970703
6,0.995,0.6,10,42,0.99,2,515.5606079101562,953.294921875,0.0,0.0,367.21388244628906
7,0.995,0.6,20,42,0.99,4,0.0,932.2355346679688,0.0,0.0,233.0588836669922
8,0.995,0.8,20,42,0.99,4,0.0,944.3561401367188,0.0,740.3289184570312,421.1712646484375
9,0.995,0.9,20,42,0.99,4,376.6584167480469,941.3860473632812,0.0,126.87194061279297,361.2291011810303
10,0.995,1.0,20,42,0.99,4,0.0,925.3291015625,0.0,744.1459350585938,417.36875915527344
11,0.995,0.7,20,42,0.99,4,0.0,897.36474609375,0.0,264.83648681640625,290.55030822753906
12,0.995,0.6,10,42,0.99,4,21.078001022338867,783.4288940429688,0.0,730.7404174804688,383.8118281364441
13,0.995,0.7,10,42,0.99,4,0.0,936.6760864257812,0.0,242.7705078125,294.8616485595703
14,0.995,0.8,10,42,0.99,4,771.4357299804688,200.7390899658203,0.0,757.295654296875,432.367618560791
15,0.995,0.5,10,42,0.9,4,596.6419067382812,906.499755859375,0.0,0.0,375.78541564941406
16,0.995,0.5,10,42,0.999,4,0.0,897.6109008789062,0.0,0.0,224.40272521972656
17,0.995,0.5,10,43,0.9,4,3.2536536619375564e-16,216.0369415283203,0.0,802.36328125,254.60005569458008
18,0.995,0.5,10,44,0.9,4,1.195349861000897e-29,946.9124145507812,0.0,648.1824340820312,398.7737121582031
19,0.995,0.5,20,42,0.9,4,0.0,915.7549438476562,0.0,90.81854248046875,251.64337158203125
20,0.995,0.5,10,42,0.99,4,0.0,884.1638793945312,0.0,0.0,221.0409698486328
21,0.995,0.5,10,43,0.9,2,773.3074340820312,936.198974609375,0.0,0.0,427.37660217285156
22,0.995,0.5,10,45,0.99,2,0.0,864.4953002929688,0.0,109.07050323486328,243.391450881958
23,0.995,0.5,10,47,0.99,2,34.46870803833008,937.9166870117188,0.0,13.293922424316406,246.4198293685913
24,0.995,0.5,20,42,0.99,4,0.0,944.3784790039062,0.0,20.162220001220703,241.13517475128174
25,0.995,0.5,20,44,0.99,4,338.8293151855469,945.1682739257812,0.0,755.3369140625,509.83362579345703
26,0.995,0.5,10,44,0.99,4,0.0,931.59912109375,0.0,520.1419067382812,362.9352569580078
27,0.995,0.5,20,43,0.9,4,574.0210571289062,873.9046020507812,0.0,0.0021304141264408827,361.9819473984535
28,0.995,0.5,10,42,0.9,2,0.0,945.497314453125,0.0,0.0,236.37432861328125
29,0.995,0.5,20,42,0.99,2,0.0,940.12548828125,0.0,0.0,235.0313720703125
30,0.995,0.5,20,43,0.99,2,256.9364929199219,880.7846069335938,0.0,718.3771362304688,464.0245590209961
